question_content,question_content_image,answer_content,answer_content_image,box_number,last_reviewed
"GEOLOGIE DEBUT c'est dans le (1) aaaaaaaa Comment l'art numérique a-t-il transformé la création contemporaine ?","0193600001394295107_q.jpg","Il a introduit de nouveaux outils (logiciels, réalité virtuelle, IA) et de nouveaux espaces de diffusion (internet), brouillant les frontières entre les disciplines.","","1","2025-09-02"
"bbbbbbbbbbbbQuel mouvement artistique du XXe siècle est connu pour représenter des sujets sous forme géométrique et abstraite ?","0193600001394295107_q.jpg","Le Cubisme, dont Pablo Picasso et Georges Braque sont des figures majeures, a introduit la décomposition des formes en volumes géométriques.","1764f611599d9f1a6daa84a170cd9255_r.jpg","1","2025-09-02"
"ccccccccQu'est-ce qu'une 'installation' en art contemporain ?","","Une œuvre d'art en trois dimensions, souvent conçue pour transformer la perception d'un espace spécifique. Elle peut incorporer divers matériaux et médias.","2014.33.1-16_01_H02-Large-TIFF_4000-pixels-long_r.jpg","1","2025-09-02"
"ttttttttQuel artiste pop art est célèbre pour ses sérigraphies de célébrités comme Marilyn Monroe ?","il_1080xN.4721221004_u06r_q.webp","Andy Warhol. Il a utilisé la sérigraphie pour interroger les notions de production de masse, de célébrité et de consommation.","","1","2025-09-02"
"En photographie moderne, que désigne le terme 'mise en abyme' ?","","Une technique de composition où une image contient une reproduction d'elle-même, créant un effet de récursivité et d'infini.","mise_en_abyme_r.jpg","1","2025-09-02"
"Quel est le principe fondamental du 'Ready-Made' selon Marcel Duchamp ?","","Désigner un objet manufacturé ordinaire comme une œuvre d'art par le simple choix de l'artiste, remettant en cause la notion de savoir-faire et d'esthétique traditionnelle.","Marcel_Duchamp,_1917,_Fountain,_photograph_by_Alfred_Stieglitz_r.jpg","1","2025-09-02"
"c'est dans le (1) Qu'est-ce que le 'Body Art' ?","","Une forme d'art contemporain où le corps de l'artiste devient le support et le medium principal de l'œuvre.","le_saut_dans_le_vide_r.webp","1","2025-09-02"
"C'est quoi ce truc moche ? Comment se nomme le mouvement artistique des années 1960 qui visait à créer des œuvres dépourvues de sensibilité personnelle, souvent à l'aide de méthodes systématiques ?","Frank_Stella_Hyena_Stomp_q.JPG","L'Art Minimal (ou Minimalisme). Il se caractérise par l'utilisation de formes géométriques simples, épurées et industrielles.","","1","2025-09-02"
"c'est dans le (1) Qu'est-ce que le 'Street Art' ?","Banksy_Girl_and_Heart_Balloon_(2840632113)_q.jpg","uuuuuuuuuuuUn art visuel créé dans des espaces publics, souvent non autorisé, incluant le graffiti, le pochoir, les posters et les installations.","","1","2025-09-02"
"GEOLOGIE FIN ____zzzz c'est dans le (1)  Quel est le principe de l''Art Conceptuel' ?","One_and_Three_Chair_q.jpg","L'idée ou le concept prime sur la réalisation esthétique ou matérielle de l'œuvre. L'idée elle-même est considérée comme l'œuvre.","","1","2025-09-02"
