question_content,question_content_image,answer_content,answer_content_image,box_number,last_reviewed
"La norme SIA 108 fait-elle office de loi ?","","Non. La norme SIA 108 n’a pas force de loi, elle s’applique uniquement si elle est contractuellement convenue entre les parties.","","200","01-18-26"
"Décrivez le contenu de la norme SIA 108.",,"La norme SIA 108 définit le règlement contractuel entre le mandant et l’ingénieur concernant les prestations","les phases","les honoraires et les responsabilités.",,"201","01-18-26"
"Que signifie le « degré de difficulté » dans la norme SIA 108 ?",,"Le degré de difficulté représente la complexité technique et organisationnelle de l’ouvrage.",,"202","01-18-26"
"Que signifie le « facteur d’ajustement » dans la norme SIA 108 ?",,"Le facteur d’ajustement tient compte des circonstances particulières du mandat telles que l’organisation","le lieu","le programme ou les contraintes spécifiques.",,"203","01-18-26"
"La formule de calcul de la SIA 108 détermine-t-elle des heures ou des montants en francs ?",,"La formule de calcul SIA 108 détermine des heures de prestations et non directement des montants en francs.",,"204","01-18-26"
"Quelles branches du bâtiment sont régies par la norme SIA 108 ?",,"Les installations CVSE : chauffage","ventilation","climatisation","sanitaire et électricité","y compris l’automatisation du bâtiment.",,"205","01-18-26"
"Citez deux normes SIA applicables à la planification électrique.",,"La norme SIA 108 (Prestations et honoraires) et la norme SIA 118 (Conditions générales pour l’exécution des travaux).",,"206","01-18-26"
"Citez quatre phases de planification selon la norme SIA 108.",,"Avant-projet ; Projet de l’ouvrage ; Appel d’offres ; Projet d’exécution.",,"207","01-18-26"
"Le maître d’ouvrage peut-il confirmer oralement une adjudication à l’entrepreneur ?",,"Oui. Une adjudication orale est juridiquement valable selon la norme SIA 118.",,"208","01-18-26"
"Comment applique-t-on les honoraires pour une répétition d’ouvrage ?",,"Un rabais doit être convenu ou le facteur S de la formule de calcul des honoraires doit être adapté.",,"209","01-18-26"
"Quel est le délai de paiement général pour une entreprise ?",,"Sauf convention contraire","le délai de paiement est de 30 jours nets à compter de la date de facturation.",,"210","01-18-26"
"Que signifie l’abréviation SIA ?",,"Société Suisse des Ingénieurs et des Architectes.",,"211","01-18-26"
"L’honoraire de l’ingénieur est-il un pourcentage fixe du coût de construction ?",,"Non. L’honoraire n’est pas un pourcentage fixe mais est calculé selon une méthode définie dans la norme SIA 108.",,"212","01-18-26"
